"Pachio-kun Juuban Shoubu / パチ夫くん 十番勝負","pachio-kun-juuban-shoubu","JP","Hu",1992,"Coconuts Japan / ココナッツジャパン"
"PC Genjin 3 Taikenban / PC原人３　体験版","pc-genjin-3-taikenban","JP","Hu",1993,"RED"
"Puzzle Boy / パズルボーイ","puzzle-boy","JP","Hu",1991,"Renovotion game, Telenet Japan/Atlus / RENO, 日本テレネット/アトラス"
"Rabio Lepus Special / ラビオレプス スペシャル","rabio-lepus-special","JP","Hu",1990,"Video System / ビデオシステム"
"S. C. I. - Special Criminal Investigation / S. C. I. SPECIAL CRIMINAL INVESTIGATION","s.-c.-i.-special-criminal-investigation","JP","Hu",1991,"Taito / タイトー"
"Salamander / 沙羅曼蛇 （サラマンダ）","salamander","JP","Hu",1991,"Konami / コナミ"
"Street Fighter II - Champion Edition / ストリートファイターII'","street-fighter-ii-champion-edition","JP","Hu",1993,"NEC Home Electronics / NECホームエレクトロニクス"
"Strip Fighter II / ストリップ・ファイターII","strip-fighter-ii","JP","Hu",1994,
"Super Momotarou Dentetsu II / スーパー桃太郎電鉄II","super-momotarou-dentetsu-ii","JP","Hu",1991,"Hudson / ハドソン"
"Super System (3.00) Card / スーパーシステムカード3.00","super-system-(3.00)-card","JP","Hu",1991,"NEC Home Electronics / NECホームエレクトロニクス"
"System (1.00) Card / システムカード1.00","system-(1.00)-card","JP","Hu",,
"System (2.10) Card / システムカード2.10","system-(2.10)-card","JP","Hu",1990,"NEC Home Electronics / NECホームエレクトロニクス"
"Takeda Shingen / 武田信玄","takeda-shingen","JP","Hu",1989,"AiCOM / エイコム"
"Tennokoe Bank Card / 天の声バンク","tennokoe-bank-card","JP","Hu",1991,"Hudson / ハドソン"
"Tenseiryu / Saint Dragon / 天聖龍","tenseiryu","JP","Hu",1990,"AiCOM / エイコム"
"The Newzealand Story / ニュージーランドストーリー","the-newzealand-story","JP","Hu",1990,"Taito / タイトー"
"Wonder Momo / ワンダーモモ","wonder-momo","JP","Hu",1989,"Namcot / ナムコ"
"Zero 4 Champ / ゼロヨンチャンプ","zero-4-champ","JP","Hu",1991,"Media Rings / メディアリング"
